sample,ash_dry[%],ash_dry[%],ash_dry[%],ash_ar[%],lod_ar[%],lod_ar[%],lod_ar[%],vm_dry[%],vm_dry[%],vm_dry[%],vm_ar[%],fc_dry[%],fc_ar[%],hoc_dry[btu/lb],hoc_ar[btu/lb],hyd_dry[%],hyd_ar[%],lhv_dry[btu/lb],lhv_ar[btu/lb]
char_p500,3.22,0,0,3.1,3.68,0,0,30.48,0,0,29.36,66.3,63.86,0,0,0,0,0,0
char_p425_m500,5,0,0,4.81,3.86,0,0,44.6,0,0,42.88,50.4,48.45,0,0,0,0,0,0
char_p355_m425,5.83,5.57,9.57,6.76,3.23,3.25,3.22,30.68,34.35,25.59,29.23,62.8,60.77,12728,12317,3.45,3.7,12408,11974
char_p300_m355,2.91,0,0,2.81,3.32,0,0,54.16,0,0,52.36,42.93,41.5,0,0,0,0,0,0
char_p212_m300,1.66,0,0,1.61,3.02,0,0,66.56,0,0,64.55,31.78,30.82,0,0,0,0,0,0
char_p125_m212,1.96,0,0,1.88,4.15,0,0,87.25,0,0,83.63,10.79,10.34,0,0,0,0,0,0
char_m125,5.91,0,0,5.61,5.06,0,0,44.04,0,0,41.81,50.05,47.52,0,0,0,0,0,0
pine_p500,0.7482,0,0,0.71,4.8,0,0,85.89,0,0,81.77,13.36,12.72,0,0,0,0,0,0
pine_p425_m500,0.3342,0,0,4.7,4.95,0,0,83.85,0,0,89.2,1.2,1.14,0,0,0,0,0,0
pine_p355_m425,0.642,0.7622,0.471,0.59,4.91,0,0,84.13,83.97,84.43,80.05,15.19,14.45,8670,8244,6.47,6.7,8070,7623
pine_p300_m355,0.9731,0,0,0.92,5.32,0,0,84.76,0,0,80.25,14.27,13.51,0,0,0,0,0,0
pine_p212_m300,1.06,0,0,0.98,7.24,0,0,85.73,0,0,78.6,14.21,13.18,0,0,0,0,0,0
pine_p125_m212,1.78,0,0,1.66,6.68,0,0,88.33,0,0,82.43,9.89,9.23,0,0,0,0,0,0
pine_m125,1.8,0,0,1.67,7.49,0,0,85.68,0,0,79.26,12.52,11.58,0,0,0,0,0,0
fresh_cat,93.64,0,0,90.26,3.61,0,0,6.75,0,0,6.51,0,0,0,0,0,0,0,0
used_cat,87.24,86.07,86.18,86.26,0.4812,0.243,0.412,5.27,6.1,6.33,5.88,7.6,7.58,0,0,0,0,0,0
fresh_sand,100.1,0,0,99.93,0.1865,0,0,0.1127,0,0,0.11,0,0,0,0,0,0,0,0
used_sand,92.9,96.21,95.18,94.47,0.2375,0.3601,0.3098,1.29,1.11,1.16,1.19,4.05,4.04,0,0,0,0,0,0
